429099369|1150555673|760|660|2|2025-06-15 23:50:49.647
429099370|1150555674|761|661|3|2025-06-15 23:51:10.123
429099371|1150555675|762|662|4|2025-06-15 23:52:15.456
429099372|1150555676|763|663|5|2025-06-15 23:53:20.789
429099373|1150555677|764|664|6|2025-06-15 23:54:25.321
429099374|1150555678|765|665|7|2025-06-15 23:55:30.654
429099375|1150555679|766|666|8|2025-06-15 23:56:35.987
429099376|1150555680|767|667|9|2025-06-15 23:57:40.111
429099377|1150555681|768|668|10|2025-06-15 23:58:45.444
429099378|1150555682|769|669|11|2025-06-15 23:59:50.777
429099379|1150555683|770|670|12|2025-06-16 00:00:55.999
